Screening 194 tickers -- signal date 2026-01-01
Full 5-layer pipeline: Technical + ARIMA + Congress(Quiver) + News(NewsAPI) + Earnings
Thresholds: BUY>0.58  AVOID<0.42  (recalibrated)
EMA fix: oversold (RSI<35) bearish stocks score 0.35 not 0.0

   #  Ticker  Signal   Score      C     N     E     Entry      Exit    Return
--------------------------------------------------------------------------------
   32  GILD     0.555    56.7   bullish   0.30 0.75 0.50  $ 120.91  $ 134.43   +11.18%  BUY  W
   33  CARR     0.555    46.2   bearish   0.70 0.50 0.50  $  53.10  $  63.87   +20.28%  BUY  W
   34  GD       0.554    41.5   bullish   0.70 0.50 0.50  $ 340.42  $ 346.82    +1.88%  BUY  W
   35  MRK      0.554    77.3   bullish   0.70 0.50 0.50  $ 105.67  $ 118.72   +12.35%  BUY  W
   36  BA       0.553    86.3   bullish   0.70 0.50 0.50  $ 227.77  $ 231.15    +1.48%  BUY  W
   37  AME      0.552    60.2   bullish   0.50 0.50 0.50  $ 208.81  $ 225.85    +8.16%  BUY  W
   38  PYPL     0.551    30.5   bearish   0.63 0.50 0.50  $  57.96  $  44.75   -22.80%  BUY  L
   39  KO       0.551    47.5   bullish   0.70 0.50 0.50  $  68.65  $  79.01   +15.09%  BUY  W
   40  TJX      0.550    41.5   bullish   0.70 0.50 0.50  $ 153.34  $ 154.75    +0.92%  BUY  W
   41  SPOT     0.549    34.5   bearish   0.50 0.50 0.50  $ 575.00  $ 497.68   -13.45%  BUY  L
   42  KKR      0.549    11.2   neutral   0.70 0.45 0.50  $ 128.41  $  95.94   -25.29%  BUY  L
   43  LMT      0.549    62.6   bullish   0.50 0.50 0.50  $ 494.46  $ 530.45    +7.28%  BUY  W
   44  CDNS     0.548    19.0   bearish   0.70 0.50 0.50  $ 310.40  $ 374.93   +20.79%  BUY  W
   45  NFLX     0.548    55.7   bearish   0.70 0.50 0.50  $  90.99  $  86.02    -5.46%  BUY  L
   46  IBM      0.548    19.9   bullish   0.52 0.40 0.50  $ 287.73  $ 297.80    +3.50%  BUY  W
   47  MU       0.547    59.0   bullish   0.40 0.55 0.50  $ 315.29  $ 971.00  +207.97%  BUY  W
   48  MCO      0.546    79.7   bullish   0.60 0.57 0.50  $ 496.72  $ 453.25    -8.75%  BUY  L
   49  MDLZ     0.545    55.2   bearish   0.70 0.50 0.50  $  53.19  $  61.17   +15.00%  BUY  W
   50  XEL      0.545    48.7   bearish   0.70 0.50 0.50  $  74.13  $  79.50    +7.24%  BUY  W
   51  HON      0.544    58.0   neutral   0.57 0.50 0.50  $ 193.85  $ 237.86   +22.71%  BUY  W
   52  XOM      0.541    52.8   bullish   0.50 0.50 0.50  $ 121.02  $ 145.26   +20.03%  BUY  W
   53  ICE      0.541    57.9   neutral   0.60 0.50 0.50  $ 159.47  $ 147.85    -7.29%  BUY  L
   54  DVN      0.541    41.5   bullish   0.70 0.50 0.50  $  37.67  $  44.49   +18.09%  BUY  W
   55  MP       0.541    28.3   bearish   0.50 0.50 0.50  $  54.97  $  64.70   +17.70%  BUY  W
   56  DOW      0.540    33.4   neutral   0.70 0.50 0.50  $  23.74  $  33.75   +42.14%  BUY  W
   57  AMD      0.539    42.0   bearish   0.62 0.60 0.50  $ 223.47  $ 516.10  +130.95%  BUY  W
   58  BX       0.539    43.4   neutral   0.57 0.50 0.50  $ 155.53  $ 116.97   -24.79%  BUY  L
   59  COST     0.538    42.8   bearish   0.50 0.69 0.50  $ 852.10  $ 956.32   +12.23%  BUY  W
   60  WFC      0.537    62.1   bullish   0.55 0.72 0.50  $  94.20  $  77.54   -17.68%  BUY  L
   61  EPAM     0.536    39.8   bullish   0.50 0.67 0.50  $ 200.46  $ 102.46   -48.89%  BUY  L
   62  GM       0.535    53.5   bullish   0.70 0.50 0.50  $  80.79  $  83.24    +3.03%  BUY  W
   63  WMT      0.535    44.1   bullish   0.50 0.60 0.50  $ 112.31  $ 115.75    +3.06%  BUY  W
   64  CME      0.535    60.8   bullish   0.50 0.35 0.50  $ 263.38  $ 273.54    +3.86%  BUY  W
   65  PEP      0.535    23.5   bullish   0.43 0.50 0.50  $ 140.97  $ 144.19    +2.28%  BUY  W
   66  COF      0.534    59.0   bullish   0.70 0.50 0.50  $ 245.93  $ 187.93   -23.58%  BUY  L
   67  MA       0.534    75.7   bullish   0.55 0.50 0.50  $ 561.32  $ 493.98   -12.00%  BUY  L
   68  EMR      0.533    39.4   bullish   0.57 0.50 0.50  $ 134.76  $ 143.82    +6.73%  BUY  W
   69  FDX      0.532    61.7   bullish   0.70 0.50 0.50  $ 291.95  $ 411.75   +41.04%  BUY  W
   70  INTC     0.531    24.8   bullish   0.50 0.45 0.50  $  39.38  $ 114.68  +191.21%  BUY  W
   71  APO      0.531    34.1   bullish   0.50 0.50 0.50  $ 145.40  $ 128.71   -11.48%  BUY  L
   72  NET      0.530    29.8   bearish   0.30 0.55 0.50  $ 196.02  $ 241.82   +23.36%  BUY  W
   73  LOW      0.530    39.0   bullish   0.54 0.50 0.50  $ 244.61  $ 214.36   -12.37%  BUY  L
   74  PH       0.530    43.9   bullish   0.63 0.50 0.50  $ 890.30  $ 844.63    -5.13%  BUY  L
   75  TSLA     0.529    49.4   bullish   0.54 0.55 0.50  $ 438.07  $ 435.79    -0.52%  BUY  L
   76  MCD      0.529    43.7   bullish   0.57 0.43 0.50  $ 301.58  $ 279.20    -7.42%  BUY  L
   77  META     0.529    56.3   bearish   0.70 0.44 0.50  $ 649.85  $ 632.51    -2.67%  BUY  L
   78  CRM      0.528    52.2   neutral   0.59 0.45 0.50  $ 252.99  $ 191.10   -24.46%  BUY  L
   79  JPM      0.528    65.1   bullish   0.50 0.55 0.50  $ 322.37  $ 299.31    -7.15%  BUY  L
   80  ITW      0.528    38.3   neutral   0.70 0.50 0.50  $ 247.93  $ 247.28    -0.26%  BUY  L
   81  LVS      0.527    39.7   bullish   0.50 0.50 0.50  $  64.50  $  50.57   -21.59%  BUY  L
   82  ETN      0.527    17.1   bearish   0.30 0.50 0.50  $ 325.39  $ 400.60   +23.11%  BUY  W
   83  AXP      0.526    42.9   bullish   0.57 0.50 0.50  $ 371.56  $ 316.47   -14.83%  BUY  L
   84  AVGO     0.524    23.2   bearish   0.47 0.70 0.50  $ 346.89  $ 446.77   +28.79%  BUY  W
   85  ISRG     0.524    56.9   bullish   0.43 0.75 0.50  $ 561.98  $ 424.64   -24.44%  BUY  L
   86  IR       0.524    43.5   neutral   0.70 0.50 0.50  $  79.72  $  71.64   -10.14%  BUY  L
   87  DASH     0.524    57.5   bearish   0.59 0.50 0.50  $ 219.79  $ 159.29   -27.53%  BUY  L
   88  AAPL     0.522    31.3   bullish   0.35 0.55 0.50  $ 270.51  $ 312.06   +15.36%  BUY  W
   89  UBER     0.522    40.0   bearish   0.57 0.50 0.50  $  82.86  $  70.40   -15.04%  BUY  L
   90  JNJ      0.520    50.9   bullish   0.41 0.75 0.50  $ 205.07  $ 225.33    +9.88%  BUY  W
   91  SHW      0.519    44.2   bearish   0.54 0.50 0.50  $ 326.27  $ 303.84    -6.87%  BUY  L
   92  RTX      0.519    67.7   bullish   0.50 0.50 0.50  $ 185.86  $ 179.66    -3.33%  BUY  L
   93  DHR      0.517    47.9   bullish   0.62 0.50 0.50  $ 229.91  $ 182.67   -20.55%  BUY  L
   94  FCX      0.517    71.1   bullish   0.50 0.50 0.50  $  51.69  $  65.71   +27.13%  BUY  W
   95  ARM      0.517     3.2   bearish   0.50 0.56 0.50  $ 114.73  $ 353.29  +207.93%  BUY  W
   96  MDT      0.517    21.8   bullish   0.30 0.55 0.50  $  95.27  $  73.81   -22.53%  BUY  L
   97  MDB      0.515    44.8   bullish   0.50 0.58 0.50  $ 399.65  $ 335.55   -16.04%  BUY  L
   98  GS       0.514    46.2   bullish   0.60 0.45 0.50  $ 909.55  $1025.56   +12.75%  BUY  W
   99  TXN      0.514    25.9   neutral   0.43 0.50 0.50  $ 175.48  $ 305.68   +74.20%  BUY  W
  100  WELL     0.513    38.5   bullish   0.50 0.50 0.50  $ 185.65  $ 205.33   +10.60%  BUY  W
  101  BAC      0.512    58.3   bullish   0.50 0.60 0.50  $  55.64  $  51.60    -7.25%  skip L
  102  ECL      0.511    62.0   bearish   0.57 0.50 0.50  $ 261.94  $ 256.00    -2.27%  skip L
  103  MS       0.507    45.0   bullish   0.57 0.45 0.50  $ 179.94  $ 208.00   +15.60%  skip W
  104  PM       0.507    80.3   bullish   0.46 0.50 0.50  $ 158.88  $ 177.38   +11.64%  skip W
  105  PLD      0.506    44.5   bullish   0.50 0.50 0.50  $ 128.02  $ 143.47   +12.07%  skip W
  106  VLO      0.505    20.4   bearish   0.50 0.50 0.50  $ 163.53  $ 244.82   +49.71%  skip W
  107  EXC      0.505    54.8   bearish   0.50 0.50 0.50  $  43.55  $  45.64    +4.81%  skip W
  108  HLT      0.505    69.3   bullish   0.70 0.50 0.50  $ 292.71  $ 327.66   +11.94%  skip W
  109  CAT      0.505    30.1   bullish   0.30 0.50 0.50  $ 595.88  $ 875.87   +46.99%  skip W
  110  BKNG     0.504    57.9   bullish   0.54 0.50 0.50  $ 212.44  $ 167.43   -21.19%  skip L
  111  PSX      0.504    11.9   bearish   0.50 0.50 0.50  $ 128.57  $ 175.88   +36.80%  skip W
  112  MGM      0.504    43.3   bullish   0.50 0.50 0.50  $  36.49  $  43.67   +19.68%  skip W
  113  NOW      0.503    28.4   bearish   0.43 0.57 0.50  $ 147.45  $ 124.37   -15.65%  skip L
  114  AEP      0.503    57.8   bearish   0.50 0.50 0.50  $ 114.07  $ 126.67   +11.04%  skip W
  115  SRE      0.502    49.0   bearish   0.50 0.50 0.50  $  89.09  $  89.13    +0.05%  skip W
  116  DLR      0.502    41.9   bearish   0.50 0.50 0.50  $ 153.98  $ 190.00   +23.39%  skip W
  117  CRWD     0.502    20.9   bearish   0.46 0.50 0.50  $ 453.58  $ 731.00   +61.16%  skip W
  118  BMY      0.502    69.0   bullish   0.70 0.50 0.50  $  52.91  $  57.18    +8.06%  skip W
  119  SLB      0.501    37.6   bullish   0.50 0.50 0.50  $  39.96  $  54.55   +36.50%  skip W
  120  CBRE     0.501    61.9   bullish   0.50 0.50 0.50  $ 160.19  $ 125.04   -21.94%  skip L
  121  MRNA     0.499    51.8   neutral   0.70 0.45 0.50  $  30.86  $  47.19   +52.92%  skip W
  122  REGN     0.498    72.7   bullish   0.70 0.50 0.50  $ 774.22  $ 614.78   -20.59%  skip L
  123  EOG      0.498    34.5   bearish   0.50 0.50 0.50  $ 105.44  $ 133.38   +26.50%  skip W
  124  PG       0.498    60.5   bearish   0.48 0.50 0.50  $ 139.74  $ 143.56    +2.74%  skip W
  125  BSX      0.497    64.6   bearish   0.50 0.50 0.50  $  94.71  $  48.31   -48.99%  skip L
  126  PNC      0.497    54.6   bullish   0.50 0.50 0.50  $ 208.25  $ 221.12    +6.18%  skip W
  127  SBUX     0.497    51.2   neutral   0.40 0.75 0.50  $  82.95  $  99.16   +19.55%  skip W
  128  CG       0.497    46.8   bullish   0.50 0.50 0.50  $  60.03  $  45.43   -24.32%  skip L
  129  LIN      0.497    85.6   bearish   0.70 0.50 0.50  $ 427.67  $ 497.69   +16.37%  skip W
  130  MO       0.496    50.4   bearish   0.50 0.50 0.50  $  56.37  $  69.58   +23.44%  skip W
  131  HAL      0.496    41.5   bullish   0.50 0.50 0.50  $  29.46  $  38.85   +31.89%  skip W
  132  PLTR     0.496    40.4   bullish   0.46 0.40 0.50  $ 167.86  $ 156.54    -6.74%  skip L
  133  F        0.495    40.3   bullish   0.40 0.50 0.50  $  13.03  $  17.44   +33.82%  skip W
  134  RIVN     0.495    59.0   bullish   0.50 0.50 0.50  $  19.41  $  16.30   -16.02%  skip L
  135  NOC      0.495    59.1   bearish   0.50 0.50 0.50  $ 583.79  $ 563.68    -3.44%  skip L
  136  CL       0.495    56.5   bearish   0.50 0.50 0.50  $  76.74  $  90.13   +17.45%  skip W
  137  TFC      0.494    45.2   bullish   0.46 0.50 0.50  $  48.73  $  48.21    -1.06%  skip L
  138  HUM      0.494    50.4   bearish   0.70 0.55 0.50  $ 263.14  $ 305.42   +16.07%  skip W
  139  WEC      0.494    61.7   bearish   0.50 0.50 0.50  $ 104.68  $ 111.05    +6.08%  skip W
  140  SPGI     0.493    77.5   neutral   0.61 0.40 0.50  $ 510.28  $ 424.00   -16.91%  skip L
  141  GOOGL    0.493    41.6   bullish   0.40 0.60 0.50  $ 314.93  $ 380.34   +20.77%  skip W
  142  CHTR     0.493    41.6   bearish   0.50 0.50 0.50  $ 209.28  $ 144.05   -31.17%  skip L
  143  DUK      0.492    64.6   bearish   0.50 0.50 0.50  $ 115.45  $ 122.73    +6.31%  skip W
  144  ALB      0.492    63.1   bullish   0.50 0.50 0.50  $ 143.57  $ 176.42   +22.88%  skip W
  145  O        0.492    49.8   bearish   0.70 0.50 0.50  $  56.08  $  61.28    +9.27%  skip W
  146  KLAC     0.491    46.2   bullish   0.40 0.50 0.50  $1271.19  $1921.71   +51.17%  skip W
  147  T        0.491    60.8   bearish   0.50 0.50 0.50  $  24.02  $  24.80    +3.23%  skip W
  148  DELL     0.490    29.4   bearish   0.50 0.40 0.50  $ 126.85  $ 420.91  +231.81%  skip W
  149  ES       0.490    53.7   bearish   0.50 0.50 0.50  $  66.56  $  68.27    +2.57%  skip W
  150  LLY      0.489    78.6   bullish   0.50 0.72 0.50  $1076.71  $1105.00    +2.63%  skip W
  151  AMT      0.489    41.7   bearish   0.43 0.50 0.50  $ 173.07  $ 186.96    +8.03%  skip W
  152  V        0.488    80.7   bullish   0.41 0.40 0.50  $ 345.05  $ 326.36    -5.42%  skip L
  153  APD      0.487    65.3   bearish   0.60 0.50 0.50  $ 248.91  $ 278.62   +11.94%  skip W
  154  BLK      0.486    44.2   bearish   0.43 0.43 0.50  $1079.05  $1046.88    -2.98%  skip L
  155  DDOG     0.485    20.8   bearish   0.38 0.50 0.50  $ 133.77  $ 247.35   +84.91%  skip W
  156  USB      0.481    53.9   bullish   0.43 0.50 0.50  $  53.38  $  54.85    +2.76%  skip W
  157  SNAP     0.480    54.0   bearish   0.50 0.50 0.50  $   8.13  $   5.71   -29.77%  skip L
  158  ABBV     0.480    57.4   bullish   0.30 0.30 0.50  $ 225.61  $ 217.72    -3.50%  skip L
  159  PCG      0.478    72.4   neutral   0.50 0.50 0.50  $  16.22  $  16.34    +0.72%  skip W
  160  ADBE     0.476    58.2   neutral   0.54 0.50 0.50  $ 333.30  $ 259.21   -22.23%  skip L
  161  ABNB     0.475    84.4   neutral   0.43 0.50 0.50  $ 133.01  $ 133.31    +0.23%  skip W
  162  TGT      0.474    59.3   neutral   0.50 0.60 0.50  $  98.57  $ 127.07   +28.92%  skip W
  163  VZ       0.474    62.2   bearish   0.40 0.50 0.50  $  39.24  $  47.81   +21.84%  skip W
  164  STZ      0.474    33.4   neutral   0.30 0.50 0.50  $ 139.33  $ 138.82    -0.36%  skip L
  165  ZBH      0.474    36.6   bearish   0.30 0.50 0.50  $  89.78  $  82.33    -8.29%  skip L
  166  FTNT     0.473    41.1   bearish   0.57 0.50 0.50  $  77.88  $ 137.97   +77.16%  skip W
  167  ABT      0.472    60.7   bearish   0.54 0.29 0.50  $ 122.79  $  85.60   -30.29%  skip L
  168  UPS      0.471    47.2   neutral   0.50 0.50 0.50  $  97.98  $ 106.69    +8.89%  skip W
  169  HPE      0.470    36.0   bullish   0.30 0.57 0.50  $  24.02  $  43.04   +79.22%  skip W
  170  MPC      0.469     6.3   bearish   0.30 0.50 0.50  $ 163.69  $ 248.77   +51.97%  skip W
  171  NEE      0.469    41.5   bearish   0.60 0.50 0.50  $  80.38  $  87.01    +8.25%  skip W
  172  MMM      0.468    33.2   bearish   0.30 0.50 0.50  $ 160.27  $ 153.13    -4.45%  skip L
  173  SNPS     0.467    46.7   neutral   0.57 0.40 0.50  $ 480.42  $ 475.62    -1.00%  skip L
  174  HD       0.463    42.1   bearish   0.55 0.45 0.50  $ 343.52  $ 317.14    -7.68%  skip L
  175  SO       0.458    67.5   bearish   0.50 0.50 0.50  $  85.79  $  92.05    +7.30%  skip W
  176  NEM      0.458    59.5   bullish   0.30 0.50 0.50  $ 100.78  $ 109.81    +8.96%  skip W
  177  DE       0.453    48.2   bearish   0.50 0.50 0.50  $ 465.44  $ 542.18   +16.49%  skip W
  178  AVB      0.453    67.8   bearish   0.50 0.50 0.50  $ 178.49  $ 182.51    +2.25%  skip W
  179  EQIX     0.452    68.7   bearish   0.50 0.50 0.50  $ 756.23  $1068.04   +41.23%  skip W
  180  LYFT     0.451    39.4   bearish   0.50 0.50 0.50  $  19.79  $  14.11   -28.70%  skip L
  181  AMGN     0.450    70.0   bullish   0.40 0.50 0.50  $ 322.95  $ 336.79    +4.29%  skip W
  182  CMCSA    0.443    70.7   neutral   0.30 0.50 0.50  $  27.05  $  24.87    -8.06%  skip L
  183  NKE      0.442    44.7   bearish   0.37 0.50 0.50  $  62.86  $  46.23   -26.46%  skip L
  184  MAR      0.439    75.6   bullish   0.50 0.35 0.50  $ 312.19  $ 375.60   +20.31%  skip W
  185  CVX      0.438    53.3   bearish   0.30 0.50 0.50  $ 152.99  $ 182.46   +19.26%  skip W
  186  COP      0.428    41.8   neutral   0.30 0.50 0.50  $  95.25  $ 113.98   +19.67%  skip W
  187  CI       0.427    70.6   bearish   0.30 0.55 0.50  $ 277.59  $ 277.40    -0.07%  skip L
  188  TMUS     0.422    70.8   bearish   0.30 0.50 0.50  $ 197.55  $ 187.53    -5.07%  skip L
  189  PSA      0.417    42.4   bearish   0.30 0.50 0.50  $ 255.84  $ 303.69   +18.71%  skip W
  190  GIS      0.406    56.5   bearish   0.30 0.50 0.50  $  44.34  $  33.81   -23.74%  skip L
  191  BIIB     0.385    46.7   bullish   0.30 0.00 0.50  $ 177.82  $ 196.00   +10.22%  skip W
  192  ELV      0.384    58.4   neutral   0.50 0.00 0.50  $ 352.08  $ 393.19   +11.68%  skip W

====================================================================

