Screening 194 tickers -- signal date 2026-01-01
Full 5-layer pipeline: Technical + ARIMA + Congress(Quiver) + News(NewsAPI) + Earnings
Thresholds: BUY>0.58  AVOID<0.42  (recalibrated)
EMA fix: oversold (RSI<35) bearish stocks score 0.35 not 0.0

   #  Ticker  Signal   Score      C     N     E     Entry      Exit    Return
--------------------------------------------------------------------------------
  58  V       WATCH    0.488  C:0.41 N:0.40 E:0.50  $ 345.05  $ 326.36    -5.42%
  59  MA      WATCH    0.534  C:0.55 N:0.50 E:0.50  $ 561.32  $ 493.98   -12.00%
  60  PYPL    WATCH    0.551  C:0.63 N:0.50 E:0.50  $  57.96  $  44.75   -22.80%
  61  KKR     WATCH    0.549  C:0.70 N:0.45 E:0.50  $ 128.41  $  95.94   -25.29%
  62  APO     WATCH    0.531  C:0.50 N:0.50 E:0.50  $ 145.40  $ 128.71   -11.48%
  63  BX      WATCH    0.539  C:0.57 N:0.50 E:0.50  $ 155.53  $ 116.97   -24.79%
  64  CG      WATCH    0.497  C:0.50 N:0.50 E:0.50  $  60.03  $  45.43   -24.32%
  65  ARES    WATCH    0.557  C:0.57 N:0.45 E:0.50  $ 164.10  $ 128.50   -21.69%
  66  LLY     WATCH    0.489  C:0.50 N:0.72 E:0.50  $1076.71  $1105.00    +2.63%
  67  UNH     WATCH    0.576  C:0.59 N:0.88 E:0.50  $ 333.80  $ 380.31   +13.93%
  68  JNJ     WATCH    0.520  C:0.41 N:0.75 E:0.50  $ 205.07  $ 225.33    +9.88%
  69  ABBV    WATCH    0.480  C:0.30 N:0.30 E:0.50  $ 225.61  $ 217.72    -3.50%
  70  MRK     WATCH    0.554  C:0.70 N:0.50 E:0.50  $ 105.67  $ 118.72   +12.35%
  71  PFE     WATCH    0.567  C:0.50 N:0.83 E:0.50  $  24.36  $  26.18    +7.46%
  72  BMY     WATCH    0.502  C:0.70 N:0.50 E:0.50  $  52.91  $  57.18    +8.06%
  73  AMGN    WATCH    0.450  C:0.40 N:0.50 E:0.50  $ 322.95  $ 336.79    +4.29%
  74  GILD    WATCH    0.555  C:0.30 N:0.75 E:0.50  $ 120.91  $ 134.43   +11.18%
